Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2020-05-26,G (Feb 2021),0.0000,20.5500,32.0000,0.0000,28.525,0,0,0,0
2020-05-27,G (Feb 2021),0.0000,18.5000,37.9000,0.0000,28.10,-0.425,0,0,0
2020-05-28,G (Feb 2021),0.0000,18.6500,37.1500,0.0000,27.90,-0.20,0,0,0
2020-05-29,G (Feb 2021),0.0000,27.9500,29.7500,0.0000,28.50,0.60,0,0,0
2020-06-01,G (Feb 2021),0.0000,16.7000,31.9000,0.0000,28.525,0.025,0,0,0
2020-06-02,G (Feb 2021),0.0000,28.0500,28.4500,0.0000,28.20,-0.325,0,0,0
2020-06-03,G (Feb 2021),0.0000,27.4500,28.4500,0.0000,27.95,-0.25,0,0,0
2020-06-04,G (Feb 2021),27.3000,27.3000,27.3000,27.3000,27.25,-0.70,1,0,1
2020-06-05,G (Feb 2021),0.0000,26.0500,27.0500,0.0000,26.55,-0.70,0,0,1
2020-06-08,G (Feb 2021),26.7400,26.8000,26.7300,26.7300,26.35,-0.20,4,0,3
2020-06-09,G (Feb 2021),0.0000,26.0500,27.9500,0.0000,27.00,0.65,0,0,3
2020-06-10,G (Feb 2021),27.0500,27.0900,27.0200,27.0200,27.00,0.00,4,0,3
2020-06-11,G (Feb 2021),29.4500,29.4500,29.4100,29.4100,29.75,2.75,3,0,4
2020-06-12,G (Feb 2021),30.9500,31.3600,30.0500,30.1000,30.75,1.00,8,0,4
2020-06-15,G (Feb 2021),0.0000,31.3000,29.5000,0.0000,29.525,-1.225,0,0,4
2020-06-16,G (Feb 2021),0.0000,29.6500,29.0000,0.0000,29.275,-0.250,0,0,4
2020-06-17,G (Feb 2021),29.8500,29.8500,29.2500,29.4500,29.40,0.125,35,0,29
2020-06-18,G (Feb 2021),29.7500,29.7500,29.4500,29.5500,29.625,0.225,21,0,44
2020-06-19,G (Feb 2021),29.5000,30.5000,29.3500,30.5000,30.55,0.925,81,0,88
2020-06-22,G (Feb 2021),31.0000,31.1000,29.5000,29.8500,29.50,-1.05,20,0,88
2020-06-23,G (Feb 2021),28.9500,30.1000,28.8500,29.1500,29.15,-0.35,9,0,96
2020-06-24,G (Feb 2021),29.1500,30.8500,29.1500,30.7500,30.725,1.575,86,0,129
2020-06-25,G (Feb 2021),31.2500,31.3500,30.0000,30.3500,30.00,-0.725,73,0,148
2020-06-26,G (Feb 2021),30.3500,31.1000,30.0000,31.0500,31.10,1.10,84,0,182
2020-06-29,G (Feb 2021),31.2500,31.2500,30.2500,30.2500,30.375,-0.725,35,0,188
2020-06-30,G (Feb 2021),30.5500,30.5500,29.3000,29.3900,29.425,-0.950,50,0,188
2020-07-01,G (Feb 2021),29.3500,29.5500,28.8500,29.0500,29.075,-0.350,71,0,217
2020-07-02,G (Feb 2021),28.8000,28.9500,28.2500,28.6400,28.70,-0.375,106,0,243
2020-07-06,G (Feb 2021),29.1500,29.1500,28.2000,28.5500,28.55,-0.15,50,0,262
2020-07-07,G (Feb 2021),28.4500,29.1200,28.4000,29.1200,29.125,0.575,16,0,264
2020-07-08,G (Feb 2021),29.0000,29.2500,28.6000,28.8000,28.625,-0.500,35,0,285
2020-07-09,G (Feb 2021),28.7000,29.3000,28.6000,29.0700,29.10,0.475,39,0,287
2020-07-10,G (Feb 2021),29.1100,29.3000,28.6500,28.7000,28.675,-0.425,49,0,283
2020-07-13,G (Feb 2021),28.5000,30.3500,28.4800,30.2000,30.225,1.550,147,0,332
2020-07-14,G (Feb 2021),29.9300,30.5000,28.9500,29.0500,29.05,-1.175,141,0,373
2020-07-15,G (Feb 2021),28.7500,29.5000,28.7000,28.9500,28.875,-0.175,133,0,377
2020-07-16,G (Feb 2021),29.3000,29.5000,28.6000,28.8700,28.85,-0.025,265,0,484
