,Avg_Volume,Beta,Current_Ratio,Debt_to_Equity,Earnings_date,Industry,Inst_Own,LDebt_to_Equity,Market_cap,PB,PEG,Price,Profit_Margin,ROE,Refresh_Date,Sales,Sector,Symbol,Ticker,_id
0,27290000.0,1.24,1.5,1.12,Jul 30 AMC,Electronic Equipment,0.619,0.88,919340000000.0,9.53,1.8,317.52,0.215,0.521,2020-02-04,259029999999.99997,Consumer Goods,AAPL,AAPL,5d51c5c3047fbe72462e03e0
1,49660000.0,1.56,0.0,0.0,Jul 17 BMO,Money Center Banks,0.721,0.96,264170000000.00003,1.09,1.15,33.735,0.389,0.114,2020-02-04,71200000000.0,Financial,BAC,BAC,5d51c5c6047fbe72462e0406
2,3810000.0,1.56,1.1,0.76,Jul 25 AMC,Catalog & Mail Order Houses,0.573,0.73,906650000000.0,16.79,0.0,2031.01,0.048,0.263,2020-02-04,252060000000.0,Services,AMZN,AMZN,5d51c5c9047fbe72462e0438
3,28920000.0,0.59,0.7,0.93,Jul 24 BMO,Telecom Services - Domestic,0.55,0.86,252380000000.0,1.37,6.91,37.47,0.095,0.094,2020-02-04,183520000000.0,Technology,T,T,5d51c5cc047fbe72462e045d
4,1560000.0,0.0,0.0,0.0,Jul 25 AMC,Internet Information Providers,0.6995,0.0,808930000000.0,4.29,2.58,1432.74,0.0,0.0,2020-02-04,148300000000.0,Technology,GOOG,GOOG,5d51c5ce047fbe72462e047a
5,7630000.0,0.39,0.6,2.02,Jul 30 BMO,Cigarettes,0.656,1.87,86870000000.0,5.97,1.96,46.77,0.25,0.429,2020-02-04,25200000000.0,Consumer Goods,MO,MO,5d51c5d1047fbe72462e04a0
6,5370000.0,1.17,0.3,0.72,Jul 11 BMO,Major Airlines,0.893,0.55,39030000000.0,2.77,0.62,58.35,0.099,0.334,2020-02-04,45700000000.0,Services,DAL,DAL,5d51c5d4047fbe72462e04c7
7,3390000.0,0.0,1.5,0.37,Jul 17 AMC,Aluminum,0.926,0.37,3730000000.0,0.73,0.0,14.7957,-0.049,-0.115,2020-02-04,12160000000.0,Basic Materials,AA,AA,5d51c5d6047fbe72462e04df
8,3140000.0,1.05,0.0,5.77,Jul 19 BMO,Credit Services,0.863,2.5,105230000000.0,4.56,1.68,132.8,0.158,0.307,2020-02-04,43340000000.0,Financial,AXP,AXP,5d51c5d9047fbe72462e0503
9,4960000.0,0.0,1.6,0.41,Aug 01 BMO,Chemicals - Major Diversified,0.718,0.37,52750000000.0,1.23,0.0,52.185,0.017,0.011,2020-02-04,51100000000.0,Basic Materials,DD,DD,5d51c5ef047fbe72462e0610
10,20840000.0,2.31,1.3,0.27,Aug 15 BMO,"Specialty Retail, Other",0.433,0.23,422350000000.0,0.73,1.21,223.33,0.232,0.198,2020-02-04,53500000000.0,Services,BABA,BABA,5d51c5f1047fbe72462e0629
11,5150000.0,1.13,1.7,0.61,Jul 17 BMO,Medical Appliances & Equipment,0.76,0.6,153220000000.0,4.84,4.46,89.0,0.094,0.094,2020-02-04,30940000000.0,Healthcare,ABT,ABT,5d51c5f4047fbe72462e0656
12,2330000.0,0.0,0.0,0.0,Jul 30 BMO,Textile - Apparel Clothing,0.6789,0.0,0.0,4.0,2.7,18.46,0.0,0.0,2020-02-04,5230000000.0,Consumer Goods,UA,UA,5d51c5f7047fbe72462e067c
13,9760000.0,1.66,2.8,0.65,Aug 15 AMC,Semiconductor Equipment & Materials,0.807,0.65,44800000000.0,5.41,1.56,62.805,0.221,0.464,2020-02-04,15770000000.0,Technology,AMAT,AMAT,5d51c5fa047fbe72462e06a2
14,2880000.0,1.16,2.9,2.84,Jul 30 AMC,Drug Manufacturers - Major,0.815,2.58,119120000000.0,11.04,2.8,221.69,0.338,0.657,2020-02-04,23560000000.0,Healthcare,AMGN,AMGN,5d51c5fd047fbe72462e06c4
15,6210000.0,1.69,0.5,0.0,Jul 25 BMO,Major Airlines,0.804,0.0,12950000000.0,0.0,0.56,28.46,0.033,-4.318,2020-02-04,45040000000.0,Services,AAL,AAL,5d51c600047fbe72462e06e7
16,4190000.0000000005,1.17,0.0,0.57,Aug 07 AMC,Property & Casualty Insurance,0.924,0.57,49420000000.0,0.77,0.0,51.48,-0.003,-0.002,2020-02-04,48380000000.0,Financial,AIG,AIG,5d51c603047fbe72462e070e
17,1600000.0,0.81,0.0,0.29,Jul 30 AMC,Property & Casualty Insurance,0.813,0.29,34660000000.0,1.53,1.29,120.475,0.062,0.123,2020-02-04,42120000000.0,Financial,ALL,ALL,5d51c61a047fbe72462e0827
18,2560000.0,1.09,0.7,0.42,Sep 17 AMC,Application Software,0.897,0.1,144560000000.0,14.47,2.36,364.15,0.262,0.279,2020-02-04,10100000000.0,Technology,ADBE,ADBE,5d51c61d047fbe72462e0850
19,1660000.0,0.99,4.0,0.0,Jul 25 AMC,Internet Information Providers,0.814,0.02,835890000000.0,4.29,2.63,1430.44,0.234,0.192,2020-02-04,148300000000.0,Technology,GOOGL,GOOGL,5d51c61f047fbe72462e086a
20,1780000.0,1.04,1.3,0.0,Jun 27 BMO,Information Technology Services,0.732,0.0,130490000000.00002,8.89,2.93,212.76,0.109,0.373,2020-02-04,42800000000.0,Technology,ACN,ACN,5d51c622047fbe72462e0898
21,10100000.0,0.93,0.9,0.0,Jul 26 BMO,Drug Manufacturers - Major,0.708,0.0,97060000000.0,0.0,5.76,84.515,0.125,-0.589,2020-02-04,32619999999.999996,Healthcare,ABBV,ABBV,5d51c625047fbe72462e08b9
22,3070000.0,2.74,1.4,0.33,Aug 01 BMO,Steel & Iron,0.029,0.26,14860000000.0,0.33,0.69,15.5,0.027,0.049,2020-02-04,75320000000.0,Basic Materials,MT,MT,5d51c627047fbe72462e08d3
23,4050000.0,0.16,1.1,5.68,Jul 30 BMO,Drug Manufacturers - Major,0.84,4.93,110030000000.0,37.67,2.64,142.93,0.338,1.114,2020-02-04,23230000000.0,Healthcare,LLY,LLY,5d51c629047fbe72462e08f3
24,4820000.0,1.62,0.7,0.38,Aug 06 BMO,Drugs - Generic,0.892,0.32,52400000000.0,0.86,0.0,190.37,-0.328,-0.077,2020-02-04,15680000000.0,Healthcare,AGN,AGN,5d51c62c047fbe72462e0919
25,4620000.0,1.82,1.2,1.27,Jul 31 AMC,Independent Oil & Gas,0.0,1.25,8439999999.999999,1.26,0.0,28.3,-0.102,-0.1,2020-02-04,6930000000.0,Basic Materials,APA,APA,5d51c643047fbe72462e0a2f
